;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_fit__batch_size;param_model__layer_size;param_model__n_hidden_layers;param_optimizer__learning_rate;mean_test_accuracy;mean_train_accuracy;mean_test_ce;mean_train_ce;mean_test_recall;mean_train_recall
70;63.92407787;9.767477283;0.687586248;0.007947163;128;1600;5;0.0005;0.967088478;0.98522134;0.530471156;0.238203952;0.858918698;0.919136832
7;58.04231614;4.460753755;0.656544626;0.006487457;64;400;3;1.00E-05;0.967009991;0.983692774;0.531736221;0.262841532;0.861804233;0.92372639
38;38.7134555;4.651706242;0.70586133;0.020636549;128;800;5;0.0001;0.966669405;0.985378496;0.537225814;0.235670895;0.884544425;0.940752334
37;40.37418115;3.040366864;0.672493517;0.007782883;128;800;3;1.00E-05;0.966616936;0.984740901;0.538071508;0.24594772;0.868530383;0.930985326
49;60.28248173;10.36066703;0.670676112;0.013523138;64;200;5;0.0005;0.966512087;0.983876204;0.539761478;0.259884986;0.861647566;0.921536631
30;31.14934814;6.348025664;0.664025068;0.009913531;128;400;3;0.0001;0.966459748;0.984164399;0.540605091;0.255239823;0.881019402;0.938031464
10;72.24254555;24.64389204;0.73987639;0.017738206;64;400;7;0.0001;0.96638101;0.984164483;0.541874185;0.25523847;0.879099198;0.937443994
62;42.57575077;8.165049233;0.694671929;0.010211891;128;200;7;0.0005;0.966276205;0.985308684;0.543563447;0.236796135;0.873496892;0.937496718
87;30.05940074;4.214404352;0.643373549;0.002928201;128;400;3;0.001;0.966250016;0.982889223;0.543985564;0.275793241;0.846593216;0.908033648
31;42.85295111;5.798794006;0.671303988;0.025285973;128;400;3;1.00E-05;0.966066748;0.982207867;0.546939493;0.286775403;0.858440185;0.917535272
89;37.98051453;3.466595652;0.690311074;0.017574846;128;400;7;0.001;0.965935655;0.98356174;0.549052465;0.26495354;0.845152858;0.90888779
92;57.91025227;20.34881399;0.755819559;0.136032708;128;800;7;0.001;0.965857157;0.984103225;0.550317707;0.256225838;0.8613249;0.924366367
63;29.93719697;4.206619338;0.659107804;0.004661483;128;400;3;0.0005;0.965857022;0.983640357;0.550319876;0.26368639;0.867086231;0.921111617
88;35.42966044;6.01780871;0.670960188;0.025766448;128;400;5;0.001;0.965830866;0.983797564;0.550741461;0.261152506;0.858923004;0.918068058
12;48.52463937;7.11780687;0.677077949;0.003662721;64;800;3;0.0001;0.965804691;0.984077071;0.551163356;0.256647384;0.88166094;0.935469243
93;43.46247852;11.62969874;0.616564393;0.015330011;128;1600;3;0.001;0.965752233;0.982731956;0.552008873;0.278328079;0.865967001;0.926022292
91;35.05758649;5.935098489;0.642650843;0.015432815;128;800;5;0.001;0.965673702;0.98164886;0.553274646;0.295785534;0.836508759;0.899973351
65;35.73702073;6.923783137;0.71707505;0.017752852;128;400;7;0.0005;0.965621151;0.983090102;0.554121668;0.272555456;0.862288283;0.921857041
1;68.37124163;4.204501766;0.67380935;0.011249807;64;200;3;1.00E-05;0.965568839;0.981535348;0.554964838;0.297615133;0.849637163;0.913263115
